,A,B,C,D,E,Question,Reponse,Reponse_preprocess,file
1,A. Le traité de Rome de 1957,B. L’Acte Unique européen de Luxembourg de 1986,C. Le traité de Maastricht de 1992,D. Le traité modificatif de Lisbonne de 2007,"E. Les propositions A, B, C et D sont fausses",Quel traité a attribué un pouvoir en santé publique aux institutions européennes ?,Réponse : C (logique) – QCM 41 du Livre Total UE 7,['C'],chapitre1
2,A. Une prévention des maladies et affections humaines,B. Un niveau élevé de protection de la santé humaine,C. Une lutte contre les grands fléaux pour la santé,D. Une surveillance des menaces transfrontalières graves pour la santé,"E. Les propositions A, B, C et D sont fausses","Selon l’article 168 du traité, quel objectif fondamental doit poursuivre la santé publique européenne ?",Réponse : B – QCM 42 du Livre Total UE 7,['B'],chapitre1
3,A. La Commission européenne,B. Le Conseil,C. Le Parlement européen,D. Le Comité économique et social,"E. Les propositions A, B, C et D sont fausses",Quelle institution de l’Union Européenne fixe les orientations générales en matière de santé publique ?,Réponse : E – QCM 47 du Livre Total UE 7,['E'],chapitre1
4,A. Le Parlement européen,B. Le Conseil européen,C. Le Conseil,D. La Commission européenne,"E. Les propositions A, B, C et D sont fausses",Quelle institution de l’Union Européenne élabore des propositions de « lois communautaires » relatives à la santé publique ?,Réponse : D – QCM 48 du Livre Total UE 7,['D'],chapitre1
5,A. La Commission européenne / le Conseil,B. Le Conseil européen / le Parlement européen,C. Le Conseil / le Parlement européen,D. La Commission européenne / le Parlement européen,"E. Les propositions A, B, C et D sont fausses","Quel binôme institutionnel adopte les Règlements, Directives et Décisions applicables à la santé publique européenne ?",Réponse : C – QCM 49 du Livre Total UE 7,['C'],chapitre1
6,A. 2,B. 3,C. 4,D. 5,"E. Les propositions A, B, C et D sont fausses","Combien d’Agences communautaires remplissent des rôles à caractère technique, scientifique ou d’expertise au profit de la santé publique ?",Réponse : D – QCM 50 du Livre Total UE 7,['D'],chapitre1
7,A. 2015 – 2022,B. 2018 – 2024,C. 2016 – 2021,D. 2014 – 2021,"E. Les propositions A, B, C et D sont fausses",À quelle période s’applique le 3e Programme d’action communautaire dans le domaine de la santé ?,Réponse : E,['E'],chapitre1
8,A. Promouvoir une bonne santé et prévenir les maladies,B. Identifier les besoins prioritaires de santé,C. Soutenir la viabilité des systèmes de santé nationaux,D. Lutter contre les grands fléaux pour la santé,"E. Les propositions A, B, C et D sont fausses",Quels objectifs généraux poursuit le 3ème Programme d’action dans le domaine de la santé ?,Réponse : AC,"['A', 'C']",chapitre1
9,A. Développer des politiques de promotion de la santé et de prévention des maladies,B. Promouvoir la santé en ligne,C. Créer de nouveaux indicateurs de santé,D. S’attaquer à de nouvelles menaces sanitaires,"E. Les propositions A, B, C et D sont fausses","Parmi les priorités stratégiques de l’Union européenne en matière de santé, lesquelles les États membres sont-ils invités à réaliser ?",Réponse : AB,"['A', 'B']",chapitre1
10,A. Renforcer l’efficacité des services,B. Adapter la capacité des systèmes de santé à un environnement en constante évolution,C. Favoriser la réduction des coûts de gestion,D. Coopérer à une baisse des erreurs médicales,"E. Les propositions A, B, C et D sont fausses"," Concernant la durabilité des systèmes de santé européens, sur quels moyens d’aide de la Commission européenne peuvent compter les États ?",Réponse : AB,"['A', 'B']",chapitre1
11,A. La santé en général,B. Les menaces sanitaires,C. Les comportements en matière de santé,D. Les systèmes de santé,"E. Les propositions A, B, C et D sont fausses", Sur quoi portent les indicateurs de santé de la Commission européenne ?,Réponse : ACD,"['A', 'C', 'D']",chapitre1
12,A. Une espérance de vie très élevée,B. Une large couverture vaccinale,C. Un bon accès à des soins de qualité,D. Un système de santé axé sur la prévention,"E. Les propositions A, B, C et D sont fausses"," Dans le profil de santé établi pour la France, quels sont les points marquants ?",Réponse : AC,"['A', 'C']",chapitre1
13,A. Des modes de vie nocifs,B. L’automédication,C. Le surpoids et l’obésité,D. La toxicomanie,"E. Les propositions A, B, C et D sont fausses", Quels facteurs de risque ont été identifiés dans le profil de santé établi pour la France ?,Réponse : AC,"['A', 'C']",chapitre1
14,A. 20%,B. 8%,C. 11%,D. 15 %,"E. Les propositions A, B, C et D sont fausses", Quel pourcentage du P.I.B. national est consacré aux dépenses dans le cadre du système de santé français ?,Réponse : C (j’espère que vous n’avez pas eu besoin de regarder la réponse grrr),['C'],chapitre1
15,A. Lutter contre les menaces sanitaires transfrontières graves,B. Améliorer la couverture vaccinale dans les pays en développement,C. Promouvoir des principes et des normes de qualité,D. Répondre aux grands enjeux de santé mondiale,"E. Les propositions A, B, C et D sont fausses"," En santé publique, que vise l’Union européenne dans ses relations avec les pays non-membres et avec les organisations internationales ?",Réponse : CD,"['C', 'D']",chapitre1
